,x1,x2,City,Quote,here
1,45.20044501,69.83930685,Shenzhen,"Your true traveller finds boredom rather agreeable than painful. It is the symbol of his liberty - his excessive freedom. He accepts his boredom, when it comes, not merely philosophically, but almost with pleasure.",
2,82.55773273,68.44166822,Mumbai,"A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.",
3,22.28742116,63.16253911,Sydney,Men are never really willing to die except for the sake of freedom: therefore they do not believe in dying completely.,
4,62.63375347,18.60009315,Mumbai,,
5,41.62966469,51.25077297,Shenzhen,"Without freedom, no art art lives only on the restraints it imposes on itself, and dies of all others.",
6,40.59536431,39.69343032,Mumbai,"A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.",
7,44.21753995,92.87931342,Shenzhen,"A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.",
8,29.63870284,25.28998828,Shenzhen,,
9,16.53076948,48.16826275,Shenzhen,Men are never really willing to die except for the sake of freedom: therefore they do not believe in dying completely.,
10,27.58478783,37.09139943,Shenzhen,"A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.",
11,49.05309465,43.06176298,Mumbai,"There is the good and the bad, the great and the low, the just and the unjust. I swear to you that all that will never change.",
12,68.02108875,19.69495611,Mumbai,Don't believe your friends when they ask you to be honest with them. All they really want is to be maintained in the good opinion they have of themselves.,
13,92.24020275,49.28780938,Mumbai,"By having a reverence for life, we enter into a spiritual relation with the world By practicing reverence for life we become good, deep, and alive.",
14,63.57788243,64.4536325,Shenzhen,"A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.",
15,88.7137834,45.31862652,Sydney,"Without culture, and the relative freedom it implies, society, even when perfect, is but a jungle. This is why any authentic creation is a gift to the future.",
16,99.08575651,42.9388907,Shenzhen,Freedom is nothing but a chance to be better.,
17,58.99483187,96.06312208,Mumbai,,
18,62.28034366,54.14876314,Mumbai,"Well, I've always thought that my career was in England, really. I used to do more in the theatre, and I felt that I should be there. It's not far is it? It's amazing the way that special FX have taken a quantum leap in what they're capable of doing.",
19,95.10240573,30.60565018,Melbourne,Men are never really willing to die except for the sake of freedom: therefore they do not believe in dying completely.,
20,62.8521845,33.12912546,Singapore,"Without culture, and the relative freedom it implies, society, even when perfect, is but a jungle. This is why any authentic creation is a gift to the future.",
21,80.75149944,14.32255767,Mumbai,"The business of a scientific school is the dissemination of useful knowledge, and this is a noble enterprise and indispensable withal society can not exist unless it goes on.",
22,89.33836825,30.52728446,Singapore,"Without culture, and the relative freedom it implies, society, even when perfect, is but a jungle. This is why any authentic creation is a gift to the future.",
23,39.41037061,71.38138476,Mumbai,,
